Revised Common Lectionary
Scripture Citations for Year B - All Seasons
https://lectionary.library.vanderbilt.edu/calendar/2026-27/?season=all&download=csv

Liturgical Date,Calendar Date,First reading,Psalm,Second reading,Gospel,Art,Prayer
"Transfiguration Sunday","Feb 07, 2027","2 Kings 2:1-12","Psalm 50:1-6","2 Corinthians 4:3-6","Mark 9:2-9",http://diglib.library.vanderbilt.edu/act-processquery.pl?code=ACT&SortOrder=Title&LectionaryLink=BTran,https://lectionary.library.vanderbilt.edu/prayer/?y=18921&season=epiphany&d=epiphany11
"Ash Wednesday","Feb 10, 2027","Joel 2:1-2, 12-17 or Isaiah 58:1-12","Psalm 51:1-17","2 Corinthians 5:20b-6:10","Matthew 6:1-6, 16-21",http://diglib.library.vanderbilt.edu/act-processquery.pl?code=ACT&SortOrder=Title&LectionaryLink=BAshW,https://lectionary.library.vanderbilt.edu/prayer/?y=18921&season=lent&d=lent1
"First Sunday in Lent","Feb 14, 2027","Genesis 9:8-17","Psalm 25:1-10","1 Peter 3:18-22","Mark 1:9-15",http://diglib.library.vanderbilt.edu/act-processquery.pl?code=ACT&SortOrder=Title&LectionaryLink=BLent01,https://lectionary.library.vanderbilt.edu/prayer/?y=18921&season=lent&d=lent2
"Second Sunday in Lent","Feb 21, 2027","Genesis 17:1-7, 15-16","Psalm 22:23-31","Romans 4:13-25","Mark 8:31-38 or Mark 9:2-9",http://diglib.library.vanderbilt.edu/act-processquery.pl?code=ACT&SortOrder=Title&LectionaryLink=BLent02,https://lectionary.library.vanderbilt.edu/prayer/?y=18921&season=lent&d=lent3
"Third Sunday in Lent","Feb 28, 2027","Exodus 20:1-17","Psalm 19","1 Corinthians 1:18-25","John 2:13-22",http://diglib.library.vanderbilt.edu/act-processquery.pl?code=ACT&SortOrder=Title&LectionaryLink=BLent03,https://lectionary.library.vanderbilt.edu/prayer/?y=18921&season=lent&d=lent4
"Fourth Sunday in Lent","Mar 07, 2027","Numbers 21:4-9","Psalm 107:1-3, 17-22","Ephesians 2:1-10","John 3:14-21",http://diglib.library.vanderbilt.edu/act-processquery.pl?code=ACT&SortOrder=Title&LectionaryLink=BLent04,https://lectionary.library.vanderbilt.edu/prayer/?y=18921&season=lent&d=lent5
"Fifth Sunday in Lent","Mar 14, 2027","Jeremiah 31:31-34","Psalm 51:1-12 or Psalm 119:9-16","Hebrews 5:5-10","John 12:20-33",http://diglib.library.vanderbilt.edu/act-processquery.pl?code=ACT&SortOrder=Title&LectionaryLink=BLent05,https://lectionary.library.vanderbilt.edu/prayer/?y=18921&season=lent&d=lent6
"Liturgy of the Palms","Mar 21, 2027","","Psalm 118:1-2, 19-29","","Mark 11:1-11 or John 12:12-16",http://diglib.library.vanderbilt.edu/act-processquery.pl?code=ACT&SortOrder=Title&LectionaryLink=BPalm,https://lectionary.library.vanderbilt.edu/prayer/?y=18921&season=lent&d=lent8
"Liturgy of the Passion","Mar 21, 2027","Isaiah 50:4-9a","Psalm 31:9-16","Philippians 2:5-11","Mark 14:1-15:47 or Mark 15:1-39, (40-47)",http://diglib.library.vanderbilt.edu/act-processquery.pl?code=ACT&SortOrder=Title&LectionaryLink=BPass,https://lectionary.library.vanderbilt.edu/prayer/?y=18921&season=lent&d=lent9
"Monday of Holy Week","Mar 22, 2027","Isaiah 42:1-9","Psalm 36:5-11","Hebrews 9:11-15","John 12:1-11",http://diglib.library.vanderbilt.edu/act-processquery.pl?code=ACT&SortOrder=Title&LectionaryLink=BHoly01,https://lectionary.library.vanderbilt.edu/prayer/?y=18921&season=holy_week&d=week1
"Tuesday of Holy Week","Mar 23, 2027","Isaiah 49:1-7","Psalm 71:1-14","1 Corinthians 1:18-31","John 12:20-36",http://diglib.library.vanderbilt.edu/act-processquery.pl?code=ACT&SortOrder=Title&LectionaryLink=BHoly02,https://lectionary.library.vanderbilt.edu/prayer/?y=18921&season=holy_week&d=week2
