Revised Common Lectionary
Scripture Citations for Year A - All Seasons
https://lectionary.library.vanderbilt.edu/calendar/2025-26/?season=all&download=csv

Liturgical Date,Calendar Date,First reading,Psalm,Second reading,Gospel,Art,Prayer
"Fifth Sunday after the Epiphany","Feb 08, 2026","Isaiah 58:1-9a (9b-12)","Psalm 112:1-9 (10)","1 Corinthians 2:1-12 (13-16)","Matthew 5:13-20",http://diglib.library.vanderbilt.edu/act-processquery.pl?code=ACT&SortOrder=Title&LectionaryLink=AEpip05,https://lectionary.library.vanderbilt.edu/prayer/?y=17134&season=epiphany&d=epiphany6
"Transfiguration Sunday","Feb 15, 2026","Exodus 24:12-18","Psalm 2 or Psalm 99","2 Peter 1:16-21","Matthew 17:1-9",http://diglib.library.vanderbilt.edu/act-processquery.pl?code=ACT&SortOrder=Title&LectionaryLink=ATran,https://lectionary.library.vanderbilt.edu/prayer/?y=17134&season=epiphany&d=epiphany11
"Ash Wednesday","Feb 18, 2026","Joel 2:1-2, 12-17 or Isaiah 58:1-12","Psalm 51:1-17","2 Corinthians 5:20b-6:10","Matthew 6:1-6, 16-21",http://diglib.library.vanderbilt.edu/act-processquery.pl?code=ACT&SortOrder=Title&LectionaryLink=AAshW,https://lectionary.library.vanderbilt.edu/prayer/?y=17134&season=lent&d=lent1
"First Sunday in Lent","Feb 22, 2026","Genesis 2:15-17; 3:1-7","Psalm 32","Romans 5:12-19","Matthew 4:1-11",http://diglib.library.vanderbilt.edu/act-processquery.pl?code=ACT&SortOrder=Title&LectionaryLink=ALent01,https://lectionary.library.vanderbilt.edu/prayer/?y=17134&season=lent&d=lent2
"Second Sunday in Lent","Mar 01, 2026","Genesis 12:1-4a","Psalm 121","Romans 4:1-5, 13-17","John 3:1-17 or Matthew 17:1-9",http://diglib.library.vanderbilt.edu/act-processquery.pl?code=ACT&SortOrder=Title&LectionaryLink=ALent02,https://lectionary.library.vanderbilt.edu/prayer/?y=17134&season=lent&d=lent3
"Third Sunday in Lent","Mar 08, 2026","Exodus 17:1-7","Psalm 95","Romans 5:1-11","John 4:5-42",http://diglib.library.vanderbilt.edu/act-processquery.pl?code=ACT&SortOrder=Title&LectionaryLink=ALent03,https://lectionary.library.vanderbilt.edu/prayer/?y=17134&season=lent&d=lent4
"Fourth Sunday in Lent","Mar 15, 2026","1 Samuel 16:1-13","Psalm 23","Ephesians 5:8-14","John 9:1-41",http://diglib.library.vanderbilt.edu/act-processquery.pl?code=ACT&SortOrder=Title&LectionaryLink=ALent04,https://lectionary.library.vanderbilt.edu/prayer/?y=17134&season=lent&d=lent5
"Fifth Sunday in Lent","Mar 22, 2026","Ezekiel 37:1-14","Psalm 130","Romans 8:6-11","John 11:1-45",http://diglib.library.vanderbilt.edu/act-processquery.pl?code=ACT&SortOrder=Title&LectionaryLink=ALent05,https://lectionary.library.vanderbilt.edu/prayer/?y=17134&season=lent&d=lent6
"Annunciation of the Lord","Mar 25, 2026","Isaiah 7:10-14","Psalm 45 or Psalm 40:5-10","Hebrews 10:4-10","Luke 1:26-38",http://diglib.library.vanderbilt.edu/act-processquery.pl?code=ACT&SortOrder=Title&LectionaryLink=AAnLo,https://lectionary.library.vanderbilt.edu/prayer/?y=17134&season=lent&d=lent7
"Liturgy of the Palms","Mar 29, 2026","","Psalm 118:1-2, 19-29","Matthew 21:1-11","",http://diglib.library.vanderbilt.edu/act-processquery.pl?code=ACT&SortOrder=Title&LectionaryLink=APalm,https://lectionary.library.vanderbilt.edu/prayer/?y=17134&season=lent&d=lent8
"Liturgy of the Passion","Mar 29, 2026","Isaiah 50:4-9a","Psalm 31:9-16","Philippians 2:5-11","Matthew 26:14-27:66 or Matthew 27:11-54",http://diglib.library.vanderbilt.edu/act-processquery.pl?code=ACT&SortOrder=Title&LectionaryLink=APass,https://lectionary.library.vanderbilt.edu/prayer/?y=17134&season=lent&d=lent9
"Monday of Holy Week","Mar 30, 2026","Isaiah 42:1-9","Psalm 36:5-11","Hebrews 9:11-15","John 12:1-11",http://diglib.library.vanderbilt.edu/act-processquery.pl?code=ACT&SortOrder=Title&LectionaryLink=AHoly01,https://lectionary.library.vanderbilt.edu/prayer/?y=17134&season=holy_week&d=week1
"Tuesday of Holy Week","Mar 31, 2026","Isaiah 49:1-7","Psalm 71:1-14","1 Corinthians 1:18-31","John 12:20-36",http://diglib.library.vanderbilt.edu/act-processquery.pl?code=ACT&SortOrder=Title&LectionaryLink=AHoly02,https://lectionary.library.vanderbilt.edu/prayer/?y=17134&season=holy_week&d=week2
"Wednesday of Holy Week","Apr 01, 2026","Isaiah 50:4-9a","Psalm 70","Hebrews 12:1-3","John 13:21-32",http://diglib.library.vanderbilt.edu/act-processquery.pl?code=ACT&SortOrder=Title&LectionaryLink=AHoly03,https://lectionary.library.vanderbilt.edu/prayer/?y=17134&season=holy_week&d=week3
"Maundy Thursday","Apr 02, 2026","Exodus 12:1-4, (5-10), 11-14","Psalm 116:1-2, 12-19","1 Corinthians 11:23-26","John 13:1-17, 31b-35",http://diglib.library.vanderbilt.edu/act-processquery.pl?code=ACT&SortOrder=Title&LectionaryLink=AHoly04,https://lectionary.library.vanderbilt.edu/prayer/?y=17134&season=holy_week&d=week4
