Revised Common Lectionary
Scripture Citations for Year C - All Seasons
https://lectionary.library.vanderbilt.edu/calendar/2024-25/?season=all&download=csv

Liturgical Date,Calendar Date,First reading,Psalm,Second reading,Gospel,Art,Prayer
"Fifth Sunday after the Epiphany","Feb 09, 2025","Isaiah 6:1-8, (9-13)","Psalm 138","1 Corinthians 15:1-11","Luke 5:1-11",http://diglib.library.vanderbilt.edu/act-processquery.pl?code=ACT&SortOrder=Title&LectionaryLink=CEpip05,https://lectionary.library.vanderbilt.edu/prayer/?y=384&season=epiphany&d=epiphany6
"Sixth Sunday after the Epiphany","Feb 16, 2025","Jeremiah 17:5-10","Psalm 1","1 Corinthians 15:12-20","Luke 6:17-26",http://diglib.library.vanderbilt.edu/act-processquery.pl?code=ACT&SortOrder=Title&LectionaryLink=CEpip06,https://lectionary.library.vanderbilt.edu/prayer/?y=384&season=epiphany&d=epiphany7
"Seventh Sunday after the Epiphany","Feb 23, 2025","Genesis 45:3-11, 15","Psalm 37:1-11, 39-40","1 Corinthians 15:35-38, 42-50","Luke 6:27-38",http://diglib.library.vanderbilt.edu/act-processquery.pl?code=ACT&SortOrder=Title&LectionaryLink=CEpip07,https://lectionary.library.vanderbilt.edu/prayer/?y=384&season=epiphany&d=epiphany8
"Transfiguration Sunday","Mar 02, 2025","Exodus 34:29-35","Psalm 99","2 Corinthians 3:12-4:2","Luke 9:28-36, (37-43a)",http://diglib.library.vanderbilt.edu/act-processquery.pl?code=ACT&SortOrder=Title&LectionaryLink=CTran,https://lectionary.library.vanderbilt.edu/prayer/?y=384&season=epiphany&d=epiphany11
"Ash Wednesday","Mar 05, 2025","Joel 2:1-2, 12-17 or Isaiah 58:1-12","Psalm 51:1-17","2 Corinthians 5:20b-6:10","Matthew 6:1-6, 16-21",http://diglib.library.vanderbilt.edu/act-processquery.pl?code=ACT&SortOrder=Title&LectionaryLink=CAshW,https://lectionary.library.vanderbilt.edu/prayer/?y=384&season=lent&d=lent1
"First Sunday in Lent","Mar 09, 2025","Deuteronomy 26:1-11","Psalm 91:1-2, 9-16","Romans 10:8b-13","Luke 4:1-13",http://diglib.library.vanderbilt.edu/act-processquery.pl?code=ACT&SortOrder=Title&LectionaryLink=CLent01,https://lectionary.library.vanderbilt.edu/prayer/?y=384&season=lent&d=lent2
"Second Sunday in Lent","Mar 16, 2025","Genesis 15:1-12, 17-18","Psalm 27","Philippians 3:17-4:1","Luke 13:31-35 or Luke 9:28-36, (37-43a)",http://diglib.library.vanderbilt.edu/act-processquery.pl?code=ACT&SortOrder=Title&LectionaryLink=CLent02,https://lectionary.library.vanderbilt.edu/prayer/?y=384&season=lent&d=lent3
"Third Sunday in Lent","Mar 23, 2025","Isaiah 55:1-9","Psalm 63:1-8","1 Corinthians 10:1-13","Luke 13:1-9",http://diglib.library.vanderbilt.edu/act-processquery.pl?code=ACT&SortOrder=Title&LectionaryLink=CLent03,https://lectionary.library.vanderbilt.edu/prayer/?y=384&season=lent&d=lent4
"Annunciation of the Lord","Mar 25, 2025","Isaiah 7:10-14","Psalm 45 or Psalm 40:5-10","Hebrews 10:4-10","Luke 1:26-38",http://diglib.library.vanderbilt.edu/act-processquery.pl?code=ACT&SortOrder=Title&LectionaryLink=CAnLo,https://lectionary.library.vanderbilt.edu/prayer/?y=384&season=lent&d=lent7_c
"Fourth Sunday in Lent","Mar 30, 2025","Joshua 5:9-12","Psalm 32","2 Corinthians 5:16-21","Luke 15:1-3, 11b-32",http://diglib.library.vanderbilt.edu/act-processquery.pl?code=ACT&SortOrder=Title&LectionaryLink=CLent04,https://lectionary.library.vanderbilt.edu/prayer/?y=384&season=lent&d=lent5
